product_id,product_name,category,subcategory,brand,model,description,unit_cost,unit_price,margin_percent,supplier_id,weight_kg,dimensions_cm,color,material,warranty_months,launch_date,status,inventory_count,reorder_level,last_updated
PROD001,Smartphone Pro Max,Electronics,Mobile Phones,TechCorp,TCM-2024,Latest flagship smartphone with advanced AI capabilities,450.00,899.99,50.01,SUP001,0.19,15.8x7.8x0.8,Midnight Black,Aluminum/Glass,24,2024-01-01,Active,450,50,2024-01-29
PROD002,Premium Jacket,Clothing,Outerwear,StyleBrand,SB-PJ-2024,High-quality waterproof jacket for all seasons,75.00,149.99,50.00,SUP002,0.8,Medium,Navy Blue,Polyester,12,2023-10-15,Active,230,25,2024-01-29
PROD003,Smart Home Hub,Home & Garden,Smart Home,HomeTech,HT-SH-001,Central hub for controlling all smart home devices,89.50,199.99,55.24,SUP003,0.5,12x12x3,White,Plastic,36,2023-11-20,Active,180,20,2024-01-29
PROD004,Professional Tennis Racket,Sports,Tennis,SportsPro,SP-TR-Pro,Professional grade tennis racket for competitive play,120.00,299.99,60.00,SUP004,0.32,68.5x27x2.5,Black/Red,Carbon Fiber,24,2023-12-05,Active,85,15,2024-01-29
PROD005,Data Science Handbook,Books,Technical,LearnPress,LP-DSH-2024,Comprehensive guide to data science and analytics,20.00,49.99,60.01,SUP005,0.65,23x15x3,Blue,Paper,0,2024-01-08,Active,500,50,2024-01-29
PROD006,Wireless Headphones,Electronics,Audio,AudioTech,AT-WH-100,Premium noise-cancelling wireless headphones,89.99,199.99,55.00,SUP001,0.25,18x16x8,Silver,Plastic/Metal,24,2023-09-10,Active,320,40,2024-01-29
PROD007,Designer Sneakers,Clothing,Footwear,UrbanStyle,US-DS-2024,Limited edition designer sneakers with premium materials,90.00,179.99,50.00,SUP006,0.6,Size 9,White/Gold,Leather,6,2023-12-01,Active,150,20,2024-01-29
PROD008,Robot Vacuum,Home & Garden,Appliances,CleanTech,CT-RV-300,Smart robot vacuum with mapping technology,199.50,399.99,50.06,SUP007,3.2,35x35x9.5,Black,Plastic,24,2023-08-15,Active,95,10,2024-01-29
PROD009,Fitness Tracker,Sports,Fitness,HealthTech,HT-FT-2024,Advanced fitness tracker with heart rate monitoring,60.00,149.99,60.00,SUP008,0.05,4x2x1,Blue,Silicone,12,2023-11-01,Active,280,30,2024-01-29
PROD010,AI Programming Guide,Books,Technical,CodePress,CP-APG-2024,Complete guide to AI and machine learning programming,24.00,59.99,60.01,SUP005,0.8,24x16x4,Green,Paper,0,2024-01-10,Active,350,40,2024-01-29
PROD011,Casual T-Shirt,Clothing,Casual,ComfortWear,CW-CT-001,100% organic cotton casual t-shirt,8.00,29.99,73.33,SUP009,0.15,Medium,Various,Cotton,3,2023-06-01,Active,800,100,2024-01-29
PROD012,LED Smart Bulbs,Home & Garden,Lighting,LightTech,LT-LSB-4pk,4-pack of WiFi-enabled LED smart bulbs,12.50,24.99,50.02,SUP010,0.3,6x6x11,White,Plastic,36,2023-07-20,Active,600,75,2024-01-29
PROD013,Yoga Mat Premium,Sports,Yoga,ZenFit,ZF-YMP-2024,Eco-friendly premium yoga mat with alignment guides,25.00,79.99,68.75,SUP011,1.2,183x61x0.6,Purple,Natural Rubber,12,2023-10-01,Active,200,25,2024-01-29
PROD014,Machine Learning Theory,Books,Academic,AcadPress,AP-MLT-2024,Advanced textbook on machine learning theory and applications,35.00,89.99,61.11,SUP012,1.1,25x18x5,Red,Paper,0,2024-01-05,Active,120,15,2024-01-29
PROD015,Tablet Ultra,Electronics,Tablets,TechCorp,TCT-2024,High-performance tablet for professionals and creatives,300.00,599.99,50.00,SUP001,0.45,25x17x0.7,Space Gray,Aluminum,24,2023-12-15,Active,220,25,2024-01-29
PROD016,Winter Coat,Clothing,Outerwear,WarmWear,WW-WC-2024,Insulated winter coat for extreme weather conditions,125.00,249.99,50.00,SUP013,1.5,Large,Dark Blue,Down/Nylon,12,2023-09-01,Active,180,20,2024-01-29
PROD017,Coffee Machine Deluxe,Home & Garden,Kitchen,BrewMaster,BM-CMD-2024,Professional-grade espresso and coffee machine,175.00,349.99,50.00,SUP014,8.5,35x40x45,Stainless Steel,Steel/Plastic,24,2023-11-10,Active,65,8,2024-01-29
PROD018,Mountain Bike,Sports,Cycling,RideTech,RT-MB-Pro,Professional mountain bike with carbon frame,650.00,1299.99,50.00,SUP015,12.5,Medium Frame,Matte Black,Carbon Fiber,36,2023-08-01,Active,35,5,2024-01-29
PROD019,Cloud Computing Guide,Books,Technical,TechBooks,TB-CCG-2024,Comprehensive guide to cloud architecture and deployment,28.00,69.99,60.01,SUP016,0.9,23x15x3.5,Blue,Paper,0,2024-01-12,Active,280,35,2024-01-29
PROD020,Gaming Laptop,Electronics,Computers,GameTech,GT-GL-2024,High-performance gaming laptop with RTX graphics,800.00,1599.99,50.00,SUP017,2.8,35x25x2.5,RGB Black,Aluminum,24,2023-12-20,Active,75,10,2024-01-29
PROD021,Smart Thermostat,Home & Garden,HVAC,ClimateTech,CT-ST-2024,WiFi-enabled smart thermostat with learning capabilities,89.50,199.99,55.24,SUP018,0.4,12x8x3,White,Plastic,60,2023-10-25,Active,140,15,2024-01-29
PROD022,Running Shoes Pro,Sports,Running,RunFast,RF-RSP-2024,Professional running shoes with advanced cushioning,75.00,149.99,50.00,SUP019,0.28,Size 10,Neon Green,Synthetic,6,2023-11-15,Active,190,25,2024-01-29
PROD023,Business Analytics,Books,Business,BizPress,BP-BA-2024,Essential guide to business analytics and data-driven decisions,32.00,79.99,60.01,SUP020,0.7,22x14x2.8,Black,Paper,0,2024-01-15,Active,160,20,2024-01-29
PROD024,Smart Watch Series X,Electronics,Wearables,TechCorp,TCWS-X-2024,Advanced smartwatch with health monitoring and GPS,225.00,449.99,50.00,SUP001,0.08,4.5x3.8x1.2,Titanium,Titanium/Ceramic,24,2024-01-01,Active,310,35,2024-01-29
PROD025,Professional Suit,Clothing,Formal,EliteWear,EW-PS-2024,Tailored professional suit for business occasions,200.00,399.99,50.00,SUP021,1.2,42R,Charcoal Gray,Wool,6,2023-09-15,Active,95,12,2024-01-29
PROD026,Garden Tool Set,Home & Garden,Gardening,GreenThumb,GT-GTS-2024,Complete 10-piece garden tool set with storage case,65.00,129.99,50.00,SUP022,3.8,Case 45x30x15,Green/Black,Steel/Plastic,12,2023-08-20,Active,110,15,2024-01-29
PROD027,Basketball Premium,Sports,Basketball,SportsPro,SP-BP-2024,Official size basketball with premium leather construction,45.00,89.99,50.01,SUP004,0.6,Diameter 24cm,Orange,Leather,6,2023-10-10,Active,250,30,2024-01-29
PROD028,Digital Marketing,Books,Marketing,MarketPress,MP-DM-2024,Modern guide to digital marketing strategies and tools,22.00,54.99,60.01,SUP023,0.6,21x14x2.5,Orange,Paper,0,2024-01-18,Active,200,25,2024-01-29
